# Nodes: 10000, Edges: 95058, Weighted: 1
1	305	1.44634
1	379	0.924964
1	772	1.85203
1	3159	0.894055
1	3391	2.7678
1	4258	2.02553
1	9794	8.61221
2	12	3.06128
2	415	1.85203
2	1276	2.34771
2	2231	3.21394
2	2257	3.21255
2	2843	1.05546
2	5805	3.77166
3	686	0.512351
3	5029	4.15692
3	8926	2.45941
3	9080	2.96369
3	9093	2.98803
3	9159	3.12937
3	9813	4.61615
4	1493	0.611978
4	3138	0.636541
4	8429	2.47472
4	8550	2.75336
4	8723	3.77551
4	9639	4.48025
4	9941	5.71159
5	302	2.19341
5	1324	1.85203
5	2293	1.23909
5	3725	1.64807
5	7665	3.75334
5	7670	3.75334
5	7735	4.08055
6	428	0.199241
6	1264	0.20774
6	2064	0.0744937
6	2230	0.0839506
6	9458	4.84715
6	9579	5.35935
6	9716	6.01727
7	1172	1.06889
7	2741	1.41491
7	2842	1.4149
7	3097	1.10087
7	6249	2.77601
7	9221	5.80584
7	9257	5.86301
8	8206	0.162604
8	8431	0.137632
8	9017	0.683362
8	9275	2.17566
8	9555	3.95695
8	9668	4.76064
8	9720	4.80473
9	18	1.82245
9	507	1.56233
9	677	1.82248
9	1542	2.17844
9	1659	2.04086
9	6135	2.90474
9	9349	7.24113
10	161	0.169043
10	269	1.85203
10	1528	0.123573
10	2840	0.172768
10	6199	1.3929
10	9716	8.38241
10	9793	6.42917
11	370	3.28925
11	1159	2.48966
11	1554	2.39782
11	1665	2.26274
11	1742	0.665022
11	2156	3.2097
11	3878	4.61491
12	894	1.85203
12	2231	3.78604
12	2257	3.78465
12	2843	1.62756
12	5626	0.0288302
12	5805	4.34377
13	101	1.85203
13	730	4.92497e-005
13	770	0.619906
13	2324	5.64982e-005
13	5252	1.1027
13	9615	7.31693
13	9719	7.62956
14	48	0.931182
14	132	1.52385
14	435	0.931266
14	590	0.154776
14	865	0.931256
14	1736	1.64455
14	9888	10.5632
15	1376	0.265654
15	2275	0.329788
15	4135	3.64829
15	9823	3.03309
15	9900	3.84647
15	9986	4.48827
15	9997	4.72544
16	47	1.33508
16	144	2.99987
16	219	2.99987
16	974	2.99987
16	1144	3.33365
16	1316	2.99987
16	6965	4.14095
17	320	0.556403
17	2697	0.14116
17	3144	2.7
17	3910	0.152144
17	9674	5.03919
17	9740	5.33861
17	9769	5.45578
18	507	1.56231
18	677	1.82246
18	1542	2.17842
18	1659	2.04084
18	6135	2.90474
18	9349	7.24111
19	923	2.80345
19	1191	0.520497
19	3173	2.54053
19	3181	2.35542
19	7304	4.22452
19	7409	4.22451
19	8431	5.4707
20	5982	5.80948
20	9252	2.1703
20	9304	2.53296
20	9338	2.55069
20	9417	2.99963
20	9444	3.14071
20	9478	3.2788
21	123	0.845507
21	234	0.844003
21	883	1.10148
21	1335	1.09232
21	1883	1.83418
21	3647	3.16228
21	9942	10.952
22	248	0.0344915
22	2285	0.347851
22	9518	2.3276
22	9636	3.2255
22	9642	3.23782
22	9722	3.54331
22	9788	3.96109
23	118	0.527483
23	275	0.527586
23	647	0.52769
23	1642	2.26274
23	1937	2.09198
23	2886	2.84461
23	9946	10.1492
24	1854	0.0574352
24	3079	0.138347
24	3372	0.27252
24	5456	0.372588
24	8993	3.59763
24	9341	4.66914
24	9992	7.56047
25	439	0.0919571
25	4048	0.0664154
25	9315	2.23648
25	9495	3.17119
25	9496	2.88363
25	9519	3.25767
25	9962	4.96124
26	2006	1.06858
26	5037	0.942358
26	5286	0.564979
26	5994	0.563706
26	9048	5.17587
26	9796	6.6052
26	9839	6.92354
27	616	0.937404
27	909	1.30213
27	1891	0.722574
27	1990	0.722573
27	5936	5.80948
27	8542	5.00714
27	9960	7.97644
28	1020	0.186492
28	1227	0.0240892
28	1254	0.647558
28	1333	0.194704
28	6006	0.324603
28	9722	7.39594
28	9788	7.81373
29	2379	0.165689
